"","x"
"1","Q8K3A9"
"2","Q60520"
"3","Q9CQN1"
"4","Q8CGC6"
"5","Q8R3F9"
"6","Q91YR7"
"7","P16330"
"8","Q9CR57"
"9","Q9DBR1"
"10","Q3USH5"
"11","Q9D0D4"
"12","Q9JIK5"
"13","Q5F2E7"
"14","Q9JJY4"
"15","Q9CRB2"
"16","Q9Z1Z2"
"17","Q0VBL3"
"18","Q91V81"
"19","O08583"
"20","Q80Y44"
"21","Q78PY7"
"22","Q9Z1D1"
"23","Q9ERU9"
"24","Q3TC46"
"25","O54941"
"26","P63325"
"27","Q8JZQ9"
"28","P50580"
"29","Q9ESX4"
"30","Q3TGG2"
"31","Q6PB66"
"32","Q8VIJ6"
"33","Q8R326"
"34","Q8VDM6"
"35","Q8BMC4"
"36","Q8BGC0"
"37","Q91W18"
"38","P84104"
"39","Q6NS46"
"40","P27641"
"41","A2AT37"
"42","Q9EPU0"
"43","Q9QYL7"
"44","Q99K48"
"45","Q924C1"
"46","Q8K4F6"
"47","P58252"
"48","Q6ZWX6"
"49","Q8K4L0"
"50","Q91WT4"
"51","P67984"
"52","P12970"
"53","P27659"
"54","Q99KG3"
"55","P63154"
"56","Q8CJG0"
"57","Q6PHZ5"
"58","Q8K363"
"59","E9Q6M7"
"60","P09405"
"61","Q8BI72"
"62","P23116"
"63","Q9JLI8"
"64","Q9CZU3"
"65","E9Q368"
"66","Q922B2"
"67","Q3UFM5"
"68","Q8BHN5"
"69","Q8BVY0"
"70","Q00PI9"
"71","Q9CRA8"
"72","Q5SFM8"
"73","Q3UEB3"
"74","P70372"
"75","Q9CSH3"
"76","Q8BYK6"
"77","P60335"
"78","P14131"
"79","O35286"
"80","Q8R5K4"
"81","Q8BFV2"
"82","Q80U78"
"83","Q810A7"
"84","Q66JV4"
"85","Q80YR9"
"86","P35550"
"87","Q8VHK9"
"88","Q9D8E6"
"89","Q8VEK3"
"90","Q8R0F5"
"91","Q80VY9"
"92","Q5U4C3"
"93","Q8K4Z5"
"94","Q9QXB9"
"95","Q6NZR5"
"96","Q9D554"
"97","P62918"
"98","Q05CL8"
"99","H9KV00"
"100","P70333"
"101","Q61823"
"102","Q6NZQ2"
"103","Q9D8Z1"
"104","Q6A0A9"
"105","P47911"
"106","O88796"
"107","Q6PGC1"
"108","Q3U1C4"
"109","Q8JZX4"
"110","P48754"
"111","Q8VCZ8"
"112","Q9D0T1"
"113","P46061"
"114","Q62093"
"115","Q8R1B4"
"116","P62702"
"117","Q80X98"
"118","Q60749"
"119","Q64012"
"120","P97376"
"121","Q6ZQL4"
"122","Q8CH25"
"123","Q9QXK7"
"124","Q8VE80"
"125","Q9CYC6"
"126","Q8R4X3"
"127","P62908"
"128","Q6P5F9"
"129","Q80W00"
"130","Q56A08"
"131","Q99ME9"
"132","Q60710"
"133","O35218"
"134","S4R1W5"
"135","P20152"
"136","Q9CPP0"
"137","Q9ESX5"
"138","E9QN31"
"139","Q8CH02"
"140","Q9D0B0"
"141","Q6DFV5"
"142","Q8C7E9"
"143","D3Z0M9"
"144","Q6A068"
"145","Q9Z2X1"
"146","Q91YE7"
"147","Q9CQE8"
"148","O70194"
"149","Q8K301"
"150","Q6DID3"
"151","Q7TSH6"
"152","Q9QZD9"
"153","Q6A0A2"
"154","Q8QZY9"
"155","Q91VE6"
"156","Q61211"
"157","Q62167"
"158","P60824"
"159","P32067"
"160","Q9CYA6"
"161","Q3U821"
"162","Q6NVF4"
"163","O89086"
"164","P47963"
"165","Q9D735"
"166","Q62348"
"167","Q9CQT2"
"168","O08795"
"169","P08113"
"170","P13864"
"171","Q3V1V3"
"172","O88569"
"173","P61406"
"174","Q99MJ9"
"175","Q9Z0H4"
"176","Q9DB27"
"177","Q6NV83"
"178","Q80YR5"
"179","Q99J36"
"180","Q6P9R1"
"181","Q4FZF3"
"182","Q8BGT7"
"183","Q6NZL1"
"184","Q9D8X5"
"185","Q8BTW3"
"186","O35841"
"187","Q91YM4"
"188","Q9JJ48"
"189","B2RR83"
"190","Q9D8M4"
"191","Q8BQ46"
"192","Q99N87"
"193","Q921F2"
"194","Q7TQK4"
"195","P62315"
"196","Q8BKI2"
"197","Q9CXG3"
"198","Q9D7N3"
"199","Q60865"
"200","P29341"
"201","Q3TWW8"
"202","Q3TZX8"
"203","Q91VU7"
"204","Q9QYS9"
"205","Q9CZM2"
"206","Q9D7S7"
"207","P62320"
"208","Q99JX7"
"209","Q9DCA5"
"210","Q3THJ3"
"211","Q9Z1N5"
"212","Q8VDW0"
"213","Q922E6"
"214","Q9CPS7"
"215","Q9Z204"
"216","P62311"
"217","P62305"
"218","B1AX39"
"219","Q80U70"
"220","O70445"
"221","Q8R205"
"222","Q8R3C6"
"223","Q9D1Q1"
"224","Q62376"
"225","O35295"
"226","Q60809"
"227","Q8C570"
"228","P62309"
"229","P19426"
"230","Q9D0L8"
"231","P28271"
"232","Q9D1C9"
"233","A2AEK1"
"234","Q99020"
"235","P97801"
"236","P62843"
"237","P62307"
"238","Q62189"
"239","P83870"
"240","A0A0N4SV80"
"241","Q60668"
"242","O08715"
"243","P24547"
"244","Q8C2Q3"
"245","D3YTQ3"
"246","Q9CZX8"
"247","V9GX43"
"248","E9Q5K9"
"249","P62264"
"250","Q149F1"
"251","Q8VC51"
"252","Q9WUA2"
"253","Q8K3P5"
"254","Q8CE46"
"255","Q00899"
"256","P60867"
"257","Q6P5D3"
"258","Q8K339"
"259","Q8R3N6"
"260","A2AKX3"
"261","P70279"
"262","Q9JHI2"
"263","Q9D1N9"
"264","Q8CH09"
"265","Q8CHP5"
"266","Q64282"
"267","Q60676"
"268","Q9D824"
"269","Q9QUM9"
"270","J3QPS8"
"271","Q569Z5"
"272","O35900"
"273","Q62095"
"274","A2A4P0"
"275","Q99JH1"
"276","Q8VH51"
"277","Q9D2E2"
"278","A0A2I3BRM6"
"279","F7BJB9"
"280","Q9DAA6"
"281","P62889"
"282","Q61655"
"283","Q8BG13"
"284","Q9CY58"
"285","Q99N96"
"286","H9KV01"
"287","Q8C5L7"
"288","G3X8X0"
"289","Q80SW1"
"290","P14148"
"291","P63017"
"292","Q99J64"
"293","Q8CH72"
"294","Q9D0M0"
"295","A0A2I3BQS6"
"296","Q5ND52"
"297","Q9JHS9"
"298","Q9CXW4"
"299","P62313"
"300","Q923D4"
