"","From","Entry","Features","Glyco.features","Glyco"
"1","A0A0B4J1G0","A0A0B4J1G0","Chain (1); Disulfide bond (2); Domain (2); Glycosylation (3); Modified residue (1); Mutagenesis (1); Sequence conflict (3); Signal (1); Site (1); Topological domain (2); Transmembrane (1)","3",TRUE
"2","A1A547","A1A547","Binding site (2); Chain (1); Disulfide bond (3); Domain (2); Glycosylation (1); Region (1); Sequence conflict (4); Signal (1)","1",TRUE
"3","A1E960","A1E960","Chain (1); Compositional bias (1); Glycosylation (9); Region (3); Signal (1)","9",TRUE
"4","A1L314","A1L314","Beta strand (32); Chain (1); Domain (1); Glycosylation (3); Helix (14); Mutagenesis (1); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1); Turn (11)","3",TRUE
"5","A2A259","A2A259","Beta strand (14); Binding site (4); Chain (1); Coiled coil (2); Compositional bias (1); Disulfide bond (1); Domain (1); Glycosylation (4); Helix (18); Intramembrane (1); Lipidation (1); Mutagenesis (10); Region (2); Sequence conflict (5); Topological domain (8); Transmembrane (6); Turn (7)","4",TRUE
"6","A2A6C4","A2A6C4","Active site (2); Alternative sequence (2); Chain (1); Compositional bias (1); Domain (1); Glycosylation (1); Motif (1); Mutagenesis (5); Region (1); Sequence conflict (1); Signal (1); Topological domain (10); Transmembrane (9)","1",TRUE
"7","A2A863","A2A863","Alternative sequence (2); Chain (1); Disulfide bond (23); Domain (7); Glycosylation (5); Modified residue (10); Motif (2); Region (5); Repeat (4); Sequence conflict (22); Signal (1); Topological domain (2); Transmembrane (1)","5",TRUE
"8","A2A8L5","A2A8L5","Active site (2); Beta strand (26); Binding site (4); Chain (1); Disulfide bond (3); Domain (13); Glycosylation (7); Helix (3); Modified residue (1); Region (1); Sequence conflict (7); Signal (1); Topological domain (2); Transmembrane (1); Turn (1)","7",TRUE
"9","A2AFS3","A2AFS3","Alternative sequence (3); Chain (1); Disulfide bond (7); Domain (1); Glycosylation (3); Region (1); Sequence conflict (1); Signal (1); Topological domain (2); Transmembrane (1)","3",TRUE
"10","A2AHL1","A2AHL1","Alternative sequence (2); Chain (1); Glycosylation (4); Region (2); Topological domain (9); Transmembrane (8)","4",TRUE
"11","A2AIR5","A2AIR5","Alternative sequence (1); Chain (1); Coiled coil (1); Glycosylation (12); Region (3); Signal (1); Topological domain (4); Transmembrane (3)","12",TRUE
"12","A2AJ76","A2AJ76","Alternative sequence (1); Chain (1); Disulfide bond (57); Domain (50); Glycosylation (40); Modified residue (3); Region (1); Sequence conflict (2); Signal (1)","40",TRUE
"13","A2AJN7","A2AJN7","Chain (1); Glycosylation (2); Sequence conflict (2); Topological domain (15); Transmembrane (14)","2",TRUE
"14","A2AJX4","A2AJX4","Chain (1); Disulfide bond (31); Domain (20); Glycosylation (4); Signal (1); Topological domain (2); Transmembrane (1)","4",TRUE
"15","A2APX8","A2APX8","Alternative sequence (2); Chain (1); Compositional bias (5); Disulfide bond (4); Domain (1); Glycosylation (4); Intramembrane (4); Modified residue (8); Mutagenesis (1); Region (7); Repeat (4); Topological domain (29); Transmembrane (24)","4",TRUE
"16","A2AQ25","A2AQ25","Alternative sequence (11); Chain (1); Coiled coil (5); Compositional bias (10); Glycosylation (1); Modified residue (18); Region (11); Sequence conflict (4)","1",TRUE
"17","A2AR95","A2AR95","Alternative sequence (2); Chain (1); Compositional bias (1); Disulfide bond (9); Domain (3); Glycosylation (1); Motif (2); Region (1); Signal (1); Topological domain (2); Transmembrane (1)","1",TRUE
